Historical Rts2 Publication Microsecond,Historical Rts2 Trading Microsecond,Historical Rts2 Instrument Identification Code,Instruments New Instrument Full Name,Historical Rts2 Transaction Identification Code,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Price Notation,Historical Rts2 Price,Historical Rts2 Price Currency,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Flag List,Historical Rts2 Count Event
2022-05-03 06:49:05.583000,2022-03-28 14:25:48.902000,US298785JL15,European Investment Bank DL Notes 2021 31 ,e6bfef17-8027-4bc8-ad12-74f578107afa,BTFE,BLOOMBERG,PERC,89.772,,733000,USD,FULJ ILQD,1
2022-04-01 17:31:45.853000,2022-03-30 15:26:58.706000,US298785JL15,European Investment Bank DL Notes 2021 31 ,0483ee09-a6dc-480a-946d-a6eb1ba37bf1,BAPA,BLOOMBERG APA,PERC,90.3,,3000000,USD,LRGS,1
2022-05-03 06:49:37.740000,2022-03-31 08:53:51.991000,US298785JL15,European Investment Bank DL Notes 2021 31 ,9fc50169-4741-4825-88b3-e10519d432da,BTFE,BLOOMBERG,PERC,90.654,,60000,USD,FULJ ILQD,1
2022-05-03 06:50:31.567000,2022-03-31 09:56:58.482000,US298785JL15,European Investment Bank DL Notes 2021 31 ,a2278e67-905c-4e91-944a-84ea78f89f34,BTFE,BLOOMBERG,PERC,90.682,,34000,USD,FULJ ILQD,1
2022-04-04 15:32:26.852000,2022-03-31 13:43:55.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,62c7990c-f7f6-408f-8e42-1b34186b8a7b,BAPE,BLOOMBERG APA,PERC,90.6047,,200000,USD,ILQD,1
2022-05-03 05:37:43.000000,2022-03-31 15:45:03.594000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208304773211285404,TREA,TRADEWEB APA,PERC,90.636,USD,1500000,USD,FULJ ILQD SIZE,1
2022-04-04 17:30:18.901000,2022-03-31 16:26:08.426000,US298785JL15,European Investment Bank DL Notes 2021 31 ,e5fb8af4-fdf8-44a5-9756-99eb88873b29,BAPA,BLOOMBERG APA,PERC,90.673,,204000,USD,ILQD,1
2022-05-03 05:38:53.000000,2022-03-31 20:01:53.579000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208304773211343821,TREA,TRADEWEB APA,PERC,90.568,USD,5500000,USD,FULJ ILQD SIZE,1
2022-05-03 06:56:42.542000,2022-04-01 09:10:49.452000,US298785JL15,European Investment Bank DL Notes 2021 31 ,f89b893f-f36b-4ccf-b2ab-ab85bb42f930,BTFE,BLOOMBERG,PERC,90.093,,60000,USD,FULJ ILQD,1
2022-05-10 06:44:37.464000,2022-04-04 08:27:32.413000,US298785JL15,European Investment Bank DL Notes 2021 31 ,cb40985c-a0d9-4267-8914-7f30f1f3cca5,BTFE,BLOOMBERG,PERC,90.21,,25000,USD,FULJ ILQD,1
2022-04-06 17:31:19.849000,2022-04-04 08:27:32.413000,US298785JL15,European Investment Bank DL Notes 2021 31 ,4ba72051-7a0b-467a-a643-b5099ddbbb87,BAPA,BLOOMBERG APA,PERC,90.21,,25000,USD,ILQD,1
2022-04-06 17:31:14.036000,2022-04-04 13:19:11.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,3f0efcd8-bf36-4207-8079-c5390628f01f,BAPA,BLOOMBERG APA,PERC,90.2232,,210000,USD,ILQD,1
2022-05-10 07:40:59.204000,2022-04-04 13:19:11.263000,US298785JL15,European Investment Bank DL Notes 2021 31 ,59dcef82-88f1-4b58-a40d-ae998df65467,BMTF,BLOOMBERG,PERC,90.2232,,210000,USD,FULJ ILQD,1
2022-05-10 05:55:53.000000,2022-04-05 07:42:24.291000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208312469792691110,TREA,TRADEWEB APA,PERC,89.776,USD,200000,USD,FULJ ILQD,1
2022-05-10 07:25:19.009449,2022-04-06 15:40:37.839000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205100825190336024,TRAX,TRAX,PERC,88.734,USD,1824000,USD,FULJ ILQD LRGS,1
2022-05-10 06:47:51.241000,2022-04-07 09:18:13.298000,US298785JL15,European Investment Bank DL Notes 2021 31 ,02737de6-5f3e-4b51-9ee7-a346f883227d,BTFE,BLOOMBERG,PERC,88.79,,75000,USD,FULJ ILQD,1
2022-05-10 06:47:27.348000,2022-04-07 09:41:51.636000,US298785JL15,European Investment Bank DL Notes 2021 31 ,d5ebd528-e7a8-4111-ade6-d27fa3c3b642,BTFE,BLOOMBERG,PERC,88.791,,33000,USD,FULJ ILQD,1
2022-04-11 17:30:57.140000,2022-04-07 14:00:02.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,77e993f1-4283-4113-877b-3852fad7d035,BAPA,BLOOMBERG APA,PERC,88.4274,,4000,USD,ILQD,1
2022-05-10 07:07:15.008288,2022-04-07 14:00:02.807000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205100807150492017,MANL,MARKETAXESS,PERC,88.4274,USD,4000,USD,ILQD,1
2022-05-10 08:17:33.042580,2022-04-07 14:00:15.309000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205100917330254123,TRNL,TRAX,PERC,89,USD,50000,USD,FULJ ILQD,1
2022-05-10 07:39:29.010031,2022-04-07 14:00:15.309000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205100839290278583,TRNL,TRAX,PERC,89,USD,50000,USD,FULJ ILQD,1
2022-05-10 08:36:32.009486,2022-04-08 08:02:40.171000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205100936320289861,TRAX,TRAX,PERC,88.17,USD,500000,USD,FULJ ILQD LRGS,1
2022-05-10 06:46:57.938000,2022-04-08 12:22:18.174000,US298785JL15,European Investment Bank DL Notes 2021 31 ,93dfee11-e02a-44af-b2f3-14c9a67a9f03,BTFE,BLOOMBERG,PERC,88.058,,3974000,USD,FULJ ILQD,1
2022-04-12 15:31:11.970000,2022-04-08 14:55:13.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,03628265-d8c5-4073-a5b5-9f45b970f769,BAPE,BLOOMBERG APA,PERC,87.9606,,100000,USD,ILQD,1
2022-05-17 06:50:02.951000,2022-04-11 11:11:42.855000,US298785JL15,European Investment Bank DL Notes 2021 31 ,d42b693c-4914-495b-b854-b742a3a55153,BTFE,BLOOMBERG,PERC,87.57,,75000,USD,FULJ ILQD,1
2022-05-17 06:49:17.334000,2022-04-11 11:19:36.609000,US298785JL15,European Investment Bank DL Notes 2021 31 ,47fc155e-c64b-4198-9624-beb18df172d1,BTFE,BLOOMBERG,PERC,87.482,,25000,USD,FULJ ILQD,1
2022-05-17 05:32:18.000000,2022-04-12 08:57:44.506000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208320166373961450,TREA,TRADEWEB APA,PERC,86.99,USD,20000,USD,FULJ ILQD,1
2022-05-17 07:34:52.554000,2022-04-12 13:56:32.805000,US298785JL15,European Investment Bank DL Notes 2021 31 ,1a7c715c-6b3c-4b7e-97c8-892820745eea,BAPA,BLOOMBERG APA,PERC,87.676,,520000,USD,FULJ LRGS,1
2022-05-17 05:32:10.000000,2022-04-12 14:18:10.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208320166373954982,TREA,TRADEWEB APA,PERC,87.866,USD,200000,USD,FULJ ILQD,1
2022-05-17 06:44:10.152000,2022-04-13 10:36:19.801000,US298785JL15,European Investment Bank DL Notes 2021 31 ,4ab29d73-25ca-4512-b9b8-fcbd5e036420,BTFE,BLOOMBERG,PERC,87.633,,71000,USD,FULJ ILQD,1
2022-05-17 05:33:13.000000,2022-04-13 14:03:29.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208320166374007331,TREA,TRADEWEB APA,PERC,88.017,USD,100000,USD,FULJ ILQD,1
2022-05-17 07:31:57.274000,2022-04-14 07:32:22.039000,US298785JL15,European Investment Bank DL Notes 2021 31 ,c3e3d5b9-fbba-407e-a8f8-f3fd161abc56,BMTF,BLOOMBERG,PERC,88.132,,650000,USD,FULJ LRGS,1
